material,2024,2015,type,notes
Steel*,79%,37%,Emerging,Steel production could see a 9–14% cost increase compared to conventional pathways due to higher recycled content requirements.
Aluminium,63%,35%,Mature,Aluminium production may incur a 6–11% premium under NZE recycling targets.”
Paper,55%,57%,Mature,
Copper,46%,16%,Mature,"Carbon price required to achieve cost parity: “To make high-recycling copper cost-competitive by 2035, a carbon price of around $55–70/tCO₂ would be necessary.”"
Nickel,54%,2%,Mature,
Cobalt,45%,9%,Mature,
Lithium,21%,4%,Mature,
Platinum*,59%,6%,Emerging,
Gold*,87%,14%,Emerging,
Silver,50%,19%,Mature,
